,Lambda,Alpha,W,D,J,Distance
0,0.0,"[2.9957562096215552e-05, 1.6128183299170017e-05, 0.9999078285092092, 1.6128183299170017e-05, 2.9957562096215552e-05]",14.69197708470885,1.125920392713534e-05,1.125920392713534e-05,14.691988343912776
1,0.1,"[0.14203492640777934, 0.2322945094060678, 0.2513411283723057, 0.2322945094060678, 0.14203492640777934]",3.9302068349984474,0.09065807374819149,0.4746129498732171,4.020864908746639
2,0.2,"[0.13729232387678597, 0.226640610897402, 0.27213413045162405, 0.226640610897402, 0.13729232387678597]",3.946373897334997,0.08814070912404323,0.859787346766234,4.03451460645904
3,0.30000000000000004,"[0.1535402397243161, 0.2299037682662575, 0.2331119840188528, 0.2299037682662575, 0.1535402397243161]",3.9277988792956933,0.09277290137121497,1.2432806947485586,4.020571780666908
4,0.4,"[0.14691018727106062, 0.2285339989164182, 0.24911162762504235, 0.2285339989164182, 0.14691018727106062]",3.9249353495282984,0.09086208640418054,1.6244913916538277,4.015797435932479
5,0.5,"[0.14692670077546685, 0.2195466593515902, 0.2670532797458859, 0.2195466593515902, 0.14692670077546685]",3.9287163645330283,0.08864574845425256,2.0086810564936406,4.017362112987281
6,0.6000000000000001,"[0.15697711364983238, 0.22855953577063434, 0.22892670115906655, 0.22855953577063434, 0.15697711364983238]",3.9300770097476447,0.09327267364370936,2.395355275306071,4.023349683391354
7,0.7000000000000001,"[0.1517801060415666, 0.2341647166870905, 0.2281103545426858, 0.2341647166870905, 0.1517801060415666]",3.9251237186311694,0.0934053308316221,2.7756082022913056,4.018529049462791
8,0.8,"[0.14269478362019863, 0.22488953081717397, 0.2648313711252548, 0.22488953081717397, 0.14269478362019863]",3.9262682946001717,0.08896803950328143,3.158808243580794,4.015236334103453
9,0.9,"[0.1514810576073353, 0.23571452688022118, 0.22560883102488705, 0.23571452688022118, 0.1514810576073353]",3.925050313023738,0.09372160186697483,3.541917441908062,4.018771914890713
10,1.0,"[0.1543634441874288, 0.23614464227727394, 0.2189838270705945, 0.23614464227727394, 0.1543634441874288]",3.9266339186427204,0.09450398585657775,3.9266339186427204,4.021137904499298
