,Lambda,Alpha,W,D,J,Distance
0,0.0,"[4.608574539538557e-05, 0.9999078285092092, 4.608574539538557e-05]",14.691350564516162,1.2109710908516844e-05,1.2109710908516844e-05,14.69136267422707
1,0.1,"[0.29594205715114974, 0.4081158856977005, 0.29594205715114974]",5.908834800458548,0.07745640320862546,0.6605942429336177,5.986291203667173
2,0.2,"[0.29597791245843125, 0.4080441750831375, 0.29597791245843125]",5.9087458348839625,0.07746577634536779,1.2437217880530869,5.98621161122933
3,0.30000000000000004,"[0.2978038867764127, 0.40439222644717465, 0.2978038867764127]",5.907648577720463,0.07794311940912611,1.8268547569025273,5.985591697129589
4,0.4,"[0.297432766224443, 0.40513446755111404, 0.297432766224443]",5.9078122829052955,0.07784610092997644,2.409832573720104,5.985658383835272
5,0.5,"[0.2979012919677915, 0.40419741606441695, 0.2979012919677915]",5.907605609306737,0.07796858317911112,2.992787096242924,5.985574192485848
6,0.6000000000000001,"[0.2988495221314401, 0.40230095573711977, 0.2988495221314401]",5.907403951758859,0.07821647199554894,3.5757289598535356,5.9856204237544075
7,0.7000000000000001,"[0.2989985909842594, 0.4020028180314812, 0.2989985909842594]",5.907402015259956,0.07825544220960322,4.15865804334485,5.98565745746956
8,0.8,"[0.2983156414224149, 0.4033687171551702, 0.2983156414224149]",5.907422817971477,0.07807690317220224,4.7415536350116225,5.985499721143679
9,0.9,"[0.29953039285155675, 0.4009392142968865, 0.29953039285155675]",5.907395081427871,0.07839446866168674,5.324495020151253,5.9857895500895575
10,1.0,"[0.30404595511821875, 0.3919080897635625, 0.30404595511821875]",5.907334606849083,0.07957498605349596,5.907334606849083,5.986909592902578
